ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
493332d2-9c1d-48a7-ad3b-51fbb25ccdf7,2014-01-29,,999-66-7844,,,,Bennett146,Cormier289,,,,white,german,M,Newburyport  Massachusetts  US,712 Roberts Drive,Methuen Town,Massachusetts,01841
f8b6efdf-5b4c-428a-b0bb-f2439313c902,2005-03-08,,999-10-3760,,,,Temika453,Ferry570,,,,white,french,F,Westfield  Massachusetts  US,1088 Marvin Light,Littleton,Massachusetts,01460
a6f54e29-f134-426b-a12f-b20a14eb71dc,2005-04-29,,999-84-3259,,,,Napoleon578,Zulauf375,,,,white,irish,M,Raynham  Massachusetts  US,987 Wyman Lodge Unit 13,Chicopee,Massachusetts,01013
99210bf4-dbd4-4ef0-8ba5-d92100dcc7aa,1970-07-14,,999-47-8865,S99976263,X35161219X,Mr.,Oliver401,Ziemann98,,,M,white,italian,M,Lawrence  Massachusetts  US,834 Kunze Wynd Apt 8,Boston,Massachusetts,02108
c4e26beb-aa0c-4f22-aa18-7b1ac2ecb79c,2012-12-18,,999-66-4534,,,,Rueben647,Howell947,,,,white,irish,M,East Bridgewater  Massachusetts  US,640 Marks Extension Unit 86,Marblehead,Massachusetts,01945
c798adf4-23ad-4267-ab66-580979cf1475,1993-08-20,,999-27-3844,S99962471,X89576531X,Mr.,Cordell41,Jerde200,,,,white,french,M,Blandford  Massachusetts  US,762 Mosciski Orchard,Groveland,Massachusetts,01834
fdf92761-40b5-461a-b77d-b2f0ef6d2aca,1963-10-15,,999-36-3329,S99940000,X71415994X,Mr.,Lucio648,Swift555,,,M,black,west_indian,M,Oxford  Massachusetts  US,1027 Maggio Grove,Orleans,Massachusetts,02653
4636f090-f160-4cbe-a5a2-bf8f67f88a55,1965-01-21,,999-56-8291,S99993842,X82752763X,Mrs.,Tereasa291,Kshlerin58,,Rohan584,M,asian,chinese,F,Chongqing  Chongqing Municipality  CN,784 Bernier Neck,Lynn,Massachusetts,01901
baf6bbcd-0942-48a2-b11f-804ffe56b555,2017-07-10,,999-96-9146,,,,Ta701,Becker968,,,,white,french,F,Amesbury Town  Massachusetts  US,131 Heller Fork,North Andover,Massachusetts,01845
76dcb216-0ce6-4000-9bbe-c206ad3ef8f6,1986-02-06,,999-90-4601,S99912931,X35227521X,Mr.,Weldon459,Bayer639,,,M,white,greek,M,Northampton  Massachusetts  US,741 Emard Lane Suite 57,Lawrence,Massachusetts,01840
