ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
77facd1b-9e06-4ca6-a7b1-cec77afca89d,1985-10-24,,999-84-2786,S99991907,X5597043X,Mr.,Óscar156,Rendón540,,,M,hispanic,puerto_rican,M,Bayamon  Puerto Rico  PR,358 Wolff Course,Barnstable Town,Massachusetts,02601
6de690f7-4799-43a1-aa82-6d8edd66b431,1989-01-27,,999-21-9371,S99954600,X51546736X,Mr.,Werner409,Hintz995,,,M,white,french,M,New Marlborough  Massachusetts  US,567 Reynolds Ferry,Cambridge,Massachusetts,02138
477fcadd-2da8-4085-a97d-985432cf1e71,1993-01-09,,999-35-5236,S99956654,X51943552X,Mr.,Gabriel934,Gislason620,,,,white,french,M,Milton  Massachusetts  US,127 Christiansen Glen,Blackstone,Massachusetts,01504
eb99c964-f86c-42d9-9364-407588659876,1971-10-12,,999-93-9686,S99910475,X74644705X,Mr.,Mario764,Stanton715,,,M,black,african,M,East Longmeadow  Massachusetts  US,1007 Stanton Ferry Suite 67,Boston,Massachusetts,02108
195cef3b-f04a-4cb5-b374-bfa984d749c9,1964-09-03,,999-47-4278,S99919578,X8819474X,Mr.,Allen322,Prosacco716,,,M,white,swedish,M,Southampton  Massachusetts  US,444 Heidenreich Lodge,Yarmouth,Massachusetts,
54af87bd-4066-4295-863f-63598c0bcb54,1971-02-16,,999-34-7569,S99925234,X45643828X,Mr.,Colin861,Cassin499,,,M,asian,chinese,M,Hong Kong  Hong Kong Special Administrative Region  CN,552 Tillman Club,Boston,Massachusetts,02108
fcd356b5-b94f-4275-a8a9-59ef8821a949,1996-02-07,2009-07-28,999-34-8299,,,,Kirby843,King743,,,,white,italian,M,Boston  Massachusetts  US,386 Price Branch Apt 38,Raynham,Massachusetts,02767
d52570d9-1563-49f4-a220-7874b9a8e6e8,1971-03-15,,999-67-6891,S99919191,X85461180X,Mrs.,Ivonne773,Braun514,,Towne435,M,white,italian,F,Winchendon  Massachusetts  US,529 Runte Glen,Natick,Massachusetts,01760
ac8dc704-eaa7-4d7c-ac5c-605c8886a511,1984-08-25,,999-74-2351,S99964765,X76767164X,Mr.,Lanny564,Lang846,,,M,white,italian,M,New Bedford  Massachusetts  US,1013 Hane Union Suite 19,Somerville,Massachusetts,02138
198e3925-3cd9-48ef-8048-9b8054f42138,1996-02-07,,999-99-4348,S99991982,X35467551X,Mr.,Saul605,Pfannerstill264,,,,white,italian,M,Lawrence  Massachusetts  US,241 Pfannerstill Wynd Unit 84,Raynham,Massachusetts,02767
4dbad262-0938-4e01-88e0-9182a81374a1,1982-06-30,,999-28-1585,S99918296,X35642610X,Mr.,Rey54,Gaylord332,,,M,asian,chinese,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,193 Hauck Vale,Needham,Massachusetts,02492
072d18fa-9d68-4936-b2b6-c5ab698249a5,1964-01-06,,999-38-7385,S99974679,X7693925X,Mrs.,Elidia194,McLaughlin530,,Lesch175,M,black,dominican,F,North Adams  Massachusetts  US,129 Gutkowski Quay,West Springfield Town,Massachusetts,01089
c6392908-d786-4543-aee9-c611d1d7c474,2005-01-12,2018-05-02,999-71-3401,,,,Jean712,Buckridge80,,,,white,irish,M,Boston  Massachusetts  US,944 Durgan Arcade,Boston,Massachusetts,02108
